kepoi_name,kepid,kepler_name,koi_pdisposition,koi_score,ra,dec,koi_disposition,koi_disposition_2020,koi_period,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_steff,koi_slogg,koi_srad,koi_kepmag,koi_prad_err1,koi_prad_err2,koi_insol_err1,koi_insol_err2,seff_recent_venus,seff_runaway_greenhouse,seff_maximum_greenhouse,seff_early_mars,teff_in_range,hz_conservative,hz_optimistic,hz_conservative_possible,rocky,super_earth,sunlike_host,grazing,p_candidate,p_confirmed,p_false_positive,p_planet_like,model_verdict,p_planet_like_2020model
K00752.01,10797460,Kepler-227 b,CANDIDATE,1.0,291.93423,48.141651,CONFIRMED,CONFIRMED,9.48803557,0.146,2.9575,615.8,2.26,793.0,93.59,35.8,5455.0,4.467,0.927,15.347,0.26,-0.15,29.45,-16.65,1.7096781797589844,1.0656425295894532,0.3362271627666016,0.30222650218863284,True,False,False,False,False,False,False,False,0.03866,0.88292,0.07842,0.92158,CONFIRMED,0.97627
K00752.02,10797460,Kepler-227 c,CANDIDATE,0.969,291.93423,48.141651,CONFIRMED,CONFIRMED,54.4183827,0.586,4.507,874.8,2.83,443.0,9.11,25.8,5455.0,4.467,0.927,15.347,0.32,-0.19,2.87,-1.62,1.7096781797589844,1.0656425295894532,0.3362271627666016,0.30222650218863284,True,False,False,False,False,False,False,False,0.06772,0.90356,0.02872,0.97128,CONFIRMED,0.97544
K00753.01,10811496,,CANDIDATE,0.0,297.00482,48.134129,CANDIDATE,FALSE POSITIVE,19.89913995,0.969,1.7822,10829.0,14.6,638.0,39.3,76.3,5853.0,4.544,0.868,15.436,3.92,-1.31,31.04,-10.49,1.7917225139142077,1.1168045114097607,0.3605126187336147,0.32405630978878347,True,False,False,False,False,False,True,False,0.34223,0.02607,0.63171,0.36829,FALSE POSITIVE,0.65594
K00754.01,10848459,,FALSE POSITIVE,0.0,285.53461,48.28521,FALSE POSITIVE,FALSE POSITIVE,1.736952453,1.276,2.40641,8079.2,33.46,1395.0,891.96,505.6,5805.0,4.564,0.791,15.597,8.5,-2.83,668.95,-230.35,1.7813556219152344,1.110339744433203,0.3575437610634765,0.3213876586480078,True,False,False,False,False,False,True,True,0.01362,0.0414,0.94498,0.05502,FALSE POSITIVE,0.07594
K00755.01,10854555,Kepler-664 b,CANDIDATE,1.0,288.75488,48.2262,CONFIRMED,CONFIRMED,2.525591777,0.701,1.6545,603.3,2.75,1406.0,926.16,40.9,6031.0,4.438,1.046,15.509,0.88,-0.35,874.33,-314.24,1.830986490443455,1.141289574928384,0.3715434021335564,0.3339716733135869,True,False,False,False,False,False,True,False,0.03504,0.66172,0.30325,0.69675,CONFIRMED,0.79189
K00756.01,10872983,Kepler-228 d,CANDIDATE,1.0,296.28613,48.22467,CONFIRMED,CONFIRMED,11.09432054,0.538,4.5945,1517.5,3.9,835.0,114.81,66.5,6046.0,4.486,0.972,15.714,1.27,-0.42,112.85,-36.7,1.8343436476247532,1.143383111753756,0.37247202274856067,0.3348063931132753,True,False,False,False,False,False,True,False,0.06807,0.74573,0.1862,0.8138,CONFIRMED,0.97153
K00756.02,10872983,Kepler-228 c,CANDIDATE,1.0,296.28613,48.22467,CONFIRMED,CONFIRMED,4.13443512,0.762,3.1402,686.0,2.77,1160.0,427.65,40.2,6046.0,4.486,0.972,15.714,0.9,-0.3,420.33,-136.7,1.8343436476247532,1.143383111753756,0.37247202274856067,0.3348063931132753,True,False,False,False,False,False,True,False,0.02352,0.67998,0.29649,0.70351,CONFIRMED,0.89066
K00756.03,10872983,Kepler-228 b,CANDIDATE,0.992,296.28613,48.22467,CONFIRMED,CONFIRMED,2.56658897,0.755,2.429,226.5,1.59,1360.0,807.74,15.0,6046.0,4.486,0.972,15.714,0.52,-0.17,793.91,-258.2,1.8343436476247532,1.143383111753756,0.37247202274856067,0.3348063931132753,True,False,False,False,True,True,True,False,0.10943,0.28024,0.61032,0.38968,FALSE POSITIVE,0.77953
K00114.01,6721123,,FALSE POSITIVE,0.0,298.86435,42.151569,FALSE POSITIVE,FALSE POSITIVE,7.36178958,1.169,5.022,233.7,39.21,1342.0,767.22,47.7,6227.0,3.986,1.958,12.66,6.45,-9.67,349.28,-365.49,1.8752270476894584,1.168878263770071,0.38361576009030784,0.34482330257325744,True,False,False,False,False,False,True,True,0.03231,0.00733,0.96036,0.03964,FALSE POSITIVE,0.05409
K00757.01,10910878,Kepler-229 c,CANDIDATE,1.0,286.99948,48.37579,CONFIRMED,CONFIRMED,16.06864674,0.052,3.5347,4914.3,5.76,600.0,30.75,161.9,5031.0,4.485,0.848,15.841,0.22,-0.49,4.46,-6.66,1.634845988374843,1.0189802238171082,0.3119000989322864,0.28035897560929135,True,False,False,False,False,False,False,False,0.15952,0.75703,0.08345,0.91655,CONFIRMED,0.95713
