kepoi_name,run_date,koi_period,koi_prad,koi_insol,koi_insol_err1,koi_insol_err2,koi_steff,koi_impact,koi_model_snr,koi_score,sunlike_host,rocky,hz_conservative_possible,koi_pdisposition
K07591.01,2026-08-24,328.32211,1.3,0.33,0.17,-0.08,4906.0,0.1169,8.2,,False,True,True,CANDIDATE
K04902.01,2026-08-24,409.38645,1.78,0.35,0.35,-0.09,4955.0,0.0706,10.3,,False,False,True,CANDIDATE
K05829.01,2026-08-24,583.8531,1.97,0.35,0.37,-0.07,5591.0,0.5925,5.4,,True,False,True,CANDIDATE
K08012.01,2026-08-24,34.573718512,0.42,0.37,0.47,-0.19,3374.0,0.22,5.7,0.989,False,True,True,CANDIDATE
K07716.01,2026-08-24,483.36405,1.27,0.39,0.24,-0.09,5700.0,0.614,8.3,0.23,True,True,True,CANDIDATE
K05545.01,2026-08-24,541.04472,1.08,0.43,0.56,-0.1,5829.0,0.2387,8.8,,True,True,True,CANDIDATE
K07923.01,2026-08-24,395.13138,0.97,0.44,0.2,-0.13,5060.0,0.45,14.4,0.75,False,True,True,CANDIDATE
K08047.01,2026-08-24,302.34971,1.98,0.44,0.12,-0.09,4829.0,0.468,8.0,0.513,False,False,True,CANDIDATE
K05556.01,2026-08-24,631.99116,1.86,0.46,0.52,-0.16,5594.0,0.2397,7.2,,True,False,True,CANDIDATE
K06151.01,2026-08-24,431.78556,1.36,0.47,0.48,-0.1,5642.0,0.196,9.4,,True,True,True,CANDIDATE
K04986.01,2026-08-24,444.04257,1.48,0.47,0.43,-0.1,5776.0,0.062,7.4,,True,True,True,CANDIDATE
K05819.01,2026-08-24,381.37504,1.24,0.48,0.5,-0.1,5513.0,0.3515,11.8,,True,True,True,CANDIDATE
K07932.01,2026-08-24,502.25648,1.03,0.51,0.33,-0.18,5637.0,0.05,8.1,0.23,True,True,True,CANDIDATE
K05135.01,2026-08-24,314.765374,2.0,0.53,0.37,-0.13,5228.0,0.158,7.5,,False,False,True,CANDIDATE
K07223.01,2026-08-24,317.062416,1.59,0.54,0.29,-0.13,5366.0,0.673,9.8,0.947,False,True,True,CANDIDATE
K07953.01,2026-08-24,432.96905,1.43,0.55,0.37,-0.14,5580.0,0.4,8.1,0.335,True,True,True,CANDIDATE
K05948.01,2026-08-24,398.51312,1.23,0.58,0.77,-0.12,5776.0,0.5091,5.9,,True,True,True,CANDIDATE
