kepoi_name,run_date,kepler_name,koi_period,koi_prad,koi_insol,koi_insol_err1,koi_insol_err2,koi_steff,sunlike_host,rocky,hz_conservative_possible,koi_pdisposition,koi_impact,koi_model_snr,hz_optimistic
K04356.01,2026-08-24,Kepler-1593 b,174.510276,1.74,0.28,0.09,-0.09,4367.0,False,False,True,CANDIDATE,0.024,14.8,True
K04622.01,2026-08-24,Kepler-441 b,207.24785,1.56,0.3,0.06,-0.05,4339.0,False,True,True,CANDIDATE,0.21,13.2,True
K02418.01,2026-08-24,Kepler-1229 b,86.829519,1.68,0.35,0.08,-0.11,3576.0,False,False,True,CANDIDATE,0.953,15.1,True
K01422.04,2026-08-24,Kepler-296 f,63.3354719,1.18,0.39,0.15,-0.13,3526.0,False,True,True,CANDIDATE,0.029,13.0,True
K01596.02,2026-08-24,Kepler-309 c,105.3582299,1.87,0.41,0.09,-0.1,3883.0,False,False,True,CANDIDATE,0.75,22.6,True
K00701.04,2026-08-24,Kepler-62 f,267.282521,1.43,0.44,0.09,-0.07,4926.0,False,True,True,FALSE POSITIVE,0.378,19.3,True
K03138.01,2026-08-24,Kepler-1649 b,8.68910764,0.49,0.47,0.0,0.0,2703.0,False,True,True,CANDIDATE,0.049,9.6,True
K07016.01,2026-08-24,Kepler-452 b,384.847556,1.09,0.56,0.32,-0.15,5579.0,True,True,True,CANDIDATE,0.059,12.3,True
K04087.01,2026-08-24,Kepler-440 b,101.1107014,1.61,0.65,0.14,-0.11,4133.0,False,False,True,CANDIDATE,0.046,24.1,True
K00854.01,2026-08-24,Kepler-705 b,56.0560754,1.94,0.69,0.15,-0.19,3593.0,False,False,True,CANDIDATE,0.018,27.4,True
K01298.02,2026-08-24,Kepler-283 c,92.7495777,1.87,0.78,0.15,-0.14,4141.0,False,False,True,FALSE POSITIVE,0.019,18.0,True
K04742.01,2026-08-24,Kepler-442 b,112.303136,1.3,0.79,0.15,-0.11,4401.0,False,True,True,CANDIDATE,0.248,13.1,True
K04036.01,2026-08-24,Kepler-1544 b,168.81133,1.69,0.8,0.17,-0.12,4798.0,False,False,True,CANDIDATE,0.083,15.3,True
K03010.01,2026-08-24,Kepler-1410 b,60.8660974,1.39,0.84,0.17,-0.16,3808.0,False,True,True,CANDIDATE,0.004,15.4,True
K01422.05,2026-08-24,Kepler-296 e,34.1420506,1.06,0.89,0.33,-0.3,3526.0,False,True,True,CANDIDATE,0.105,13.3,True
