kepoi_name,kepler_name,koi_period,koi_prad,koi_insol,koi_insol_err1,koi_insol_err2,koi_steff,sunlike_host,rocky,hz_conservative_possible,koi_pdisposition
K00854.01,Kepler-705 b,56.0560754,1.94,0.69,0.15,-0.19,3593.0,False,False,True,CANDIDATE
K01298.02,Kepler-283 c,92.7495777,1.87,0.78,0.15,-0.14,4141.0,False,False,True,CANDIDATE
K01596.02,Kepler-309 c,105.3582299,1.87,0.41,0.09,-0.1,3883.0,False,False,True,CANDIDATE
K02418.01,Kepler-1229 b,86.829519,1.68,0.35,0.08,-0.11,3576.0,False,False,True,CANDIDATE
K02626.01,Kepler-1652 b,38.0970717,1.58,0.81,0.3,-0.25,3554.0,False,True,True,CANDIDATE
K03010.01,Kepler-1410 b,60.8660974,1.39,0.84,0.17,-0.16,3808.0,False,True,True,CANDIDATE
K04087.01,Kepler-440 b,101.1107014,1.61,0.65,0.14,-0.11,4133.0,False,False,True,CANDIDATE
K04036.01,Kepler-1544 b,168.81133,1.69,0.8,0.17,-0.12,4798.0,False,False,True,CANDIDATE
K04356.01,Kepler-1593 b,174.510276,1.74,0.28,0.09,-0.09,4367.0,False,False,True,CANDIDATE
K04622.01,Kepler-441 b,207.24785,1.56,0.3,0.06,-0.05,4339.0,False,True,True,CANDIDATE
K01422.04,Kepler-296 f,63.3354719,1.18,0.39,0.15,-0.13,3526.0,False,True,True,CANDIDATE
K04742.01,Kepler-442 b,112.303136,1.3,0.79,0.15,-0.11,4401.0,False,True,True,CANDIDATE
K01422.05,Kepler-296 e,34.1420506,1.06,0.89,0.33,-0.3,3526.0,False,True,True,CANDIDATE
K03138.01,Kepler-1649 b,8.68910764,0.49,0.47,0.0,0.0,2703.0,False,True,True,CANDIDATE
K00701.04,Kepler-62 f,267.282521,1.43,0.44,0.09,-0.07,4926.0,False,True,True,CANDIDATE
K07016.01,Kepler-452 b,384.847556,1.09,0.56,0.32,-0.15,5579.0,True,True,True,CANDIDATE
