kepoi_name,kepler_name,change,koi_period,koi_prad,koi_insol,koi_steff,koi_tce_delivname,p_planet_2020
K00753.01,,FALSE POSITIVE → CANDIDATE,19.89913995,14.6,39.3,5853.0,q1_q17_dr25_tce,0.6559449169698508
K00760.01,Kepler-1976 b,CANDIDATE → CONFIRMED,4.959319244,12.21,349.4,5712.0,q1_q17_dr25_tce,0.859931742684839
K00799.01,,CANDIDATE → FALSE POSITIVE,1.626630225,32.43,1355.88,5735.0,q1_q17_dr25_tce,0.09118616586290136
K00804.01,Kepler-1727 b,CANDIDATE → CONFIRMED,9.02930689,2.57,77.75,5349.0,q1_q17_dr25_tce,0.9844249927978579
K00810.01,Kepler-1728 b,CANDIDATE → CONFIRMED,4.783002698,2.5,145.48,5170.0,q1_q17_dr25_tce,0.9811660201483096
K00820.01,,FALSE POSITIVE → CANDIDATE,4.64090031,30.09,421.08,6463.0,q1_q17_dr25_tce,0.006565923473546436
K00841.03,Kepler-27 d,CANDIDATE → CONFIRMED,6.54626149,2.19,101.78,5251.0,q1_q17_dr25_tce,0.9743775191365027
K00858.01,,FALSE POSITIVE → CANDIDATE,13.61014819,19.02,68.29,5697.0,q1_q17_dr25_tce,0.16855858794693604
K00871.01,,FALSE POSITIVE → CANDIDATE,12.940668656,22.94,64.64,5875.0,q1_q17_dr25_tce,0.07980666691815987
K00120.01,,CANDIDATE → FALSE POSITIVE,20.5452375,2.41,71.57,5670.0,q1_q17_dr25_tce,0.9528093771381452
K00875.01,Kepler-1729 b,CANDIDATE → CONFIRMED,4.220965778,2.62,29.68,3837.0,q1_q17_dr25_tce,0.9608075450487273
K00892.02,Kepler-716 c,CANDIDATE → CONFIRMED,3.96996298,1.78,229.37,5121.0,q1_q17_dr25_tce,0.9719779490976501
K00900.01,Kepler-1730 b,CANDIDATE → CONFIRMED,13.81020318,4.56,113.75,5942.0,q1_q17_dr25_tce,0.9064130974136527
K00145.01,,CANDIDATE → FALSE POSITIVE,102.9641952,39.0,95.4,5047.0,q1_q17_dr25_tce,0.6152854273525021
K01170.01,Kepler-1739 b,CANDIDATE → CONFIRMED,7.34373964,1.84,117.5,5757.0,q1_q17_dr25_tce,0.9566090743918524
K00970.01,,FALSE POSITIVE → CANDIDATE,3.9886021,34.39,23135.72,4813.0,q1_q17_dr25_tce,0.18038569905312918
K00972.01,,CANDIDATE → CONFIRMED,13.118962443,8.25,2310.43,7221.0,q1_q17_dr25_tce,0.9675389909454033
K00972.02,,FALSE POSITIVE → CANDIDATE,7.82187328,2.78,4601.71,7221.0,q1_q17_dr25_tce,0.8417422902655851
K01051.01,Kepler-1734 b,CANDIDATE → CONFIRMED,6.79685353,2.01,222.91,6061.0,q1_q17_dr25_tce,0.9208927633662551
K00977.01,,CANDIDATE → FALSE POSITIVE,1.353771892,430.99,136609.48,4283.0,q1_q17_dr25_tce,0.011798032352585475
K00134.01,,FALSE POSITIVE → CONFIRMED,67.5923754,12.1,28.2,6038.0,q1_q17_dr25_tce,0.8770556826073841
K01112.01,Kepler-1736 b,CANDIDATE → CONFIRMED,37.8102649,2.33,24.27,6085.0,q1_q17_dr25_tce,0.9797176537420855
K00984.01,Kepler-1973 b,CANDIDATE → CONFIRMED,4.28746668,2.29,186.31,5296.0,q1_q17_dr25_tce,0.9552247501375735
K01194.02,,FALSE POSITIVE → CANDIDATE,14.8623076,1.57,10.08,4362.0,q1_q17_dr25_tce,0.9603616611367831
K01058.01,,CANDIDATE → FALSE POSITIVE,5.670155713,5.85,3.21,3337.0,q1_q17_dr25_tce,0.3185539090127852
K01201.01,Kepler-1741 b,CANDIDATE → CONFIRMED,2.757584622,1.01,33.79,3683.0,q1_q17_dr25_tce,0.9761027273287171
K01064.01,,CANDIDATE → FALSE POSITIVE,1.187352427,67.35,6067.3,6424.0,q1_q17_dr25_tce,0.2584949451064953
K01191.01,Kepler-1740 b,CANDIDATE → CONFIRMED,8.17242644,3.29,127.95,5705.0,q1_q17_dr25_tce,0.922903640385597
K01075.01,,CANDIDATE → FALSE POSITIVE,1.343767797,18.66,11675.38,6324.0,q1_q17_dr25_tce,0.7232894637395058
